Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Exp_Prob                 
0                        0.005259706709120009     131072                   6.203697681427002        6.99341344833374         8654                     6.775256633758545        7.660390853881836        14075                    18.550161361694336       18.551212310791016       -0.0010575697524473071   0.0743560791015625       0.9995853304862976       0.0                      4.5826592445373535       2.662799596786499        1.0                      
500                      0.9556673920154571       65667072                 85.33124542236328        86.73963165283203        4770                     48.36435317993164        52.04322814941406        1253567                  1.1882832050323486       1.1971849203109741       -0.008902212604880333    0.17780303955078125      1.000198245048523        1.3923761343903607e-06   0.0052794357761740685    1.3115668296813965       1.0                      
1000                     1.8164993158313962       131203072                92.1946792602539         91.31334686279297        4653                     100.05780029296875       101.01065063476562       646722                   1.8360910415649414       1.844340205192566        -0.008249555714428425    0.10710754245519638      0.9997809529304504       5.557272288569948e-06    -0.0072912415489554405   1.7351707220077515       1.0                      
1500                     2.6096872376733358       196739072                91.98920440673828        90.04698181152344        4704                     103.79672241210938       103.01325225830078       634679                   2.3764827251434326       2.3898544311523438       -0.013371388427913189    0.11225128173828125      1.000043272972107        1.453740151191596e-05    -0.02448207512497902     1.702744483947754        1.0                      
2000                     3.391613329052925        262275072                94.3235855102539         91.66474151611328        4680                     105.6217269897461        103.79930877685547       630005                   1.7871538400650024       1.7798441648483276       0.0073098368011415005    0.10312042385339737      0.9991170763969421       9.409096492163371e-06    0.03346781060099602      1.4502449035644531       1.0                      
2500                     4.176534280578295        327811072                98.16311645507812        94.97966766357422        4574                     107.21527099609375       104.73650360107422       624417                   0.758751630783081        0.7552826404571533       0.0034690003376454115    0.09375458210706711      0.9996572732925415       5.1787387747026514e-06   0.015704426914453506     1.0043370723724365       1.0                      
3000                     4.941315580937598        393347072                98.49954223632812        94.9224853515625         4567                     108.39810180664062       105.42156982421875       620405                   1.4356513023376465       1.4464714527130127       -0.010820185765624046    0.08113250881433487      1.0000413656234741       1.589179919392336e-05    -0.016232281923294067    1.422134280204773        1.0                      
3500                     5.702274244758818        458883072                99.37001037597656        95.5519790649414         4598                     109.08194732666016       105.80609130859375       618121                   0.9734994173049927       0.9810484051704407       -0.00754911033436656     0.07804107666015625      0.9999541640281677       1.231071655638516e-05    -0.011554736644029617    1.2428468465805054       1.0                      
4000                     6.461257071495056        524419072                96.7900390625            92.9123306274414         4631                     109.3417739868164        105.80919647216797       618123                   0.8666949272155762       0.8731814622879028       -0.006486543454229832    0.08110809326171875      1.0005987882614136       8.597816304245498e-06    0.014486079104244709     1.0747891664505005       1.0                      
4500                     7.234846680760383        589955072                99.1744613647461         95.0828628540039         4622                     110.19161224365234       106.49945831298828       614087                   0.5858299136161804       0.593555748462677        -0.0077258385717868805   0.06962127983570099      1.0004103183746338       1.67981706908904e-05     -0.007194679230451584    1.0586864948272705       1.0                      
5000                     7.990841862691774        655491072                100.39825439453125       96.26708984375           4534                     110.62398529052734       106.7892074584961        612447                   1.9936012029647827       2.0014541149139404       -0.007852884009480476    0.12088318169116974      1.001070261001587        1.4386930160981137e-05   0.008925746195018291     1.567306637763977        1.0                      
5500                     8.769714431034194        721027072                102.37329864501953       98.05859375              4540                     111.483154296875         107.60874938964844       607746                   0.847274899482727        0.8480836153030396       -0.0008085636654868722   0.09340057522058487      0.99935382604599         7.909722626209259e-06    -0.01250501163303852     1.067039966583252        1.0                      
6000                     9.543249889612198        786563072                101.72360229492188       97.36116027832031        4577                     111.23516845703125       107.26432037353516       609660                   0.7820770144462585       0.7777747511863708       0.004302374552935362     0.11212463676929474      1.0004113912582397       7.358357379416702e-06    0.033709488809108734     1.0244883298873901       1.0                      
6500                     10.297314730485281       852099072                100.29169464111328       95.94007110595703        4589                     111.48097229003906       107.42415618896484       608731                   0.5794988870620728       0.5842006802558899       -0.004701684694737196    0.06114044412970543      0.9999802708625793       7.523381555074593e-06    -0.020483050495386124    0.9641000628471375       1.0                      
7000                     11.067962175276545       917635072                103.63684844970703       99.1113052368164         4528                     111.73360443115234       107.64649963378906       607449                   0.5508319139480591       0.5562487840652466       -0.005416953470557928    0.08399353176355362      1.0002813339233398       7.326281320274575e-06    0.002866916824132204     0.8619623780250549       1.0                      
